State,.Net,C++,C#,Javascript,Java ,Android,Security,Full Stack,Front End,Devops,Web Developer,Architect,Data,Applications,Programmer Analyst,Network,Mobile,IT,Software Engineer,Systems Engineer,QA,Intern,Entry Level,Associate,Mid Level,Senior,Principal,Staff,Lead,Director
Pennsylvania,73.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,35.0,29.0,0.0,27.0,52.0,182.0,30.0,20.0,0.0,49.0,730.0,168.0,22.0,41.0,0.0,32.0,0.0,247.0,20.0,0.0,152.0,77.0
Rhode Island,0.0,0.0,0.0,0.0,36.0,5.0,19.0,0.0,0.0,0.0,18.0,32.0,32.0,41.0,0.0,0.0,0.0,51.0,70.0,36.0,10.0,8.0,0.0,5.0,0.0,89.0,13.0,0.0,8.0,0.0
South Carolina,18.0,0.0,0.0,0.0,19.0,0.0,23.0,0.0,7.0,0.0,7.0,8.0,19.0,13.0,12.0,30.0,0.0,123.0,109.0,29.0,16.0,0.0,0.0,42.0,0.0,36.0,0.0,0.0,7.0,34.0
South Dakota,4.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,9.0,0.0,5.0,13.0,7.0,3.0,0.0,0.0,20.0,25.0,4.0,3.0,4.0,0.0,2.0,0.0,7.0,0.0,0.0,16.0,3.0
Tennessee,39.0,0.0,0.0,0.0,49.0,0.0,39.0,0.0,10.0,0.0,0.0,9.0,41.0,0.0,58.0,0.0,9.0,58.0,54.0,40.0,0.0,8.0,0.0,19.0,0.0,89.0,0.0,0.0,15.0,47.0
Texas,184.0,0.0,0.0,0.0,275.0,0.0,42.0,0.0,87.0,114.0,0.0,129.0,82.0,76.0,54.0,0.0,0.0,171.0,1313.0,287.0,0.0,56.0,0.0,40.0,0.0,593.0,48.0,0.0,97.0,210.0
Utah,21.0,0.0,0.0,0.0,20.0,0.0,0.0,16.0,11.0,35.0,8.0,13.0,81.0,0.0,23.0,23.0,0.0,41.0,202.0,48.0,11.0,0.0,0.0,10.0,0.0,70.0,0.0,0.0,12.0,8.0
Vermont,9.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,10.0,4.0,3.0,0.0,0.0,19.0,64.0,19.0,15.0,10.0,0.0,5.0,0.0,22.0,8.0,0.0,12.0,15.0
Virginia,97.0,0.0,0.0,0.0,444.0,0.0,207.0,51.0,41.0,166.0,0.0,243.0,43.0,140.0,0.0,76.0,0.0,450.0,1754.0,1174.0,0.0,0.0,0.0,0.0,0.0,1262.0,269.0,0.0,49.0,0.0
Washington,45.0,0.0,0.0,0.0,137.0,0.0,111.0,0.0,15.0,24.0,0.0,80.0,43.0,64.0,0.0,30.0,0.0,256.0,245.0,224.0,14.0,0.0,0.0,0.0,0.0,398.0,22.0,0.0,0.0,0.0
West Virginia,0.0,0.0,0.0,0.0,13.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,38.0,24.0,0.0,11.0,0.0,34.0,56.0,13.0,6.0,5.0,0.0,9.0,0.0,46.0,0.0,0.0,4.0,15.0
Wisconsin,67.0,10.0,0.0,0.0,38.0,0.0,14.0,0.0,8.0,16.0,0.0,29.0,7.0,43.0,9.0,20.0,9.0,77.0,182.0,22.0,8.0,28.0,0.0,8.0,0.0,44.0,0.0,0.0,0.0,25.0
Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,0.0,15.0,2.0,21.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,6.0
